date,btc price
2022-05-12,28913
2022-05-11,31027
2022-05-10,30270
2022-05-09,34070
2022-05-08,35573
2022-05-07,36116
2022-05-06,36612
2022-05-05,39699
2022-05-04,37758
2022-05-03,38562
2022-05-02,38538
2022-05-01,37821
2022-04-30,38651
2022-04-29,39742
2022-04-28,39238
2022-04-27,38134
2022-04-26,40489
2022-04-25,39469
2022-04-24,39562
2022-04-23,39757
2022-04-22,40529
2022-04-21,41397
2022-04-20,41498
2022-04-19,40834
2022-04-18,39739
2022-04-17,40450
2022-04-16,40587
2022-04-15,39959
2022-04-14,41205
2022-04-13,40206
2022-04-12,39604
2022-04-11,42275
2022-04-10,42796
2022-04-09,42316
2022-04-08,43515
2022-04-07,43199
2022-04-06,45635
2022-04-05,46623
2022-04-04,46435
2022-04-03,45842
2022-04-02,46270
2022-04-01,45528
2022-03-31,47063
2022-03-30,47459
2022-03-29,46995
2022-03-28,46715
2022-03-27,44511
2022-03-26,44332
2022-03-25,43936
2022-03-24,42802
2022-03-23,42402
2022-03-22,41062
2022-03-21,41283
2022-03-20,42202
2022-03-19,41837
2022-03-18,41002
2022-03-17,41166
2022-03-16,39332
2022-03-15,39669
2022-03-14,37853
2022-03-13,38904
2022-03-12,38775
2022-03-11,39468
2022-03-10,41986
2022-03-09,38733
2022-03-08,38076
2022-03-07,38443
2022-03-06,39463
2022-03-05,39200
2022-03-04,42492
2022-03-03,43981
2022-03-02,44460
2022-03-01,43225
2022-02-28,37804
2022-02-27,39090
2022-02-26,39316
2022-02-25,38363
2022-02-24,37372
2022-02-23,38337
2022-02-22,37060
2022-02-21,38514
2022-02-20,40193
2022-02-19,40073
2022-02-18,40563
2022-02-17,44063
2022-02-16,44574
2022-02-15,42635
2022-02-14,42248
2022-02-13,42255
2022-02-12,42445
2022-02-11,43628
2022-02-10,44384
2022-02-09,44184
2022-02-08,43911
2022-02-07,42476
2022-02-06,41494
2022-02-05,41674
2022-02-04,37101
2022-02-03,37001
2022-02-02,38836
2022-02-01,38556
2022-01-31,37983
2022-01-30,38232
2022-01-29,37853
2022-01-28,37277
2022-01-27,36870
2022-01-26,36989
2022-01-25,36774
2022-01-24,36306
2022-01-23,35180
2022-01-22,36509
2022-01-21,40708
2022-01-20,41750
